Date,Indicators
2016-01,14
2016-02,16
2016-03,16
2016-04,17
2016-05,20
2016-06,20
2016-07,23
2016-08,25
2016-09,23
2016-10,24
2016-11,26
2016-12,28
2017-01,29
2017-02,28
2017-03,24
2017-04,21
2017-05,20
2017-06,22
2017-07,22
2017-08,25
2017-09,28
2017-10,23
2017-11,23
2017-12,22
2018-01,20
2018-02,24
2018-03,23
2018-04,26
2018-05,29
2018-06,22
2018-07,26
2018-08,24
2018-09,22
2018-10,22
2018-11,17
2018-12,16
2019-01,20
2019-02,17
2019-03,20
2019-04,21
2019-05,18
2019-06,21
2019-07,22
2019-08,20
2019-09,19
2019-10,19
2019-11,24
2019-12,27
2020-01,25
2020-02,24
2020-03,20
2020-04,19
2020-05,19
2020-06,19
2020-07,21
2020-08,26
2020-09,27
2020-10,28
2020-11,30
2020-12,34
2021-01,37
2021-02,40
2021-03,40
2021-04,41
2021-05,41
2021-06,40
2021-07,38
2021-08,39
2021-09,38
2021-10,39
2021-11,37
2021-12,38
2022-01,36
2022-02,34
2022-03,31
2022-04,28
2022-05,28
2022-06,27
2022-07,24
2022-08,23
2022-09,17
2022-10,18
2022-11,12
2022-12,12
2023-01,11
2023-02,10
2023-03,11
2023-04,11
2023-05,12
2023-06,13
2023-07,15
2023-08,15
